"","ery1","ery2","ery3","ebMac1","ebMac2","ebMac3","spMac1","spMac2"
"Flnb",527.348842651537,516.01537757992,450.398433805864,675.52098622902,918.022257498457,609.550431896154,55.6264653852754,115.623477314809
"Flnc",0,0,0,5.29660604401524,33.7595281789755,4.33073131009701,0,0
"Flot1",475.546402312486,407.773453892269,469.588342013131,336.13076817789,395.341843148529,326.248425360642,672.574536021966,592.570321238398
"Flot2",136.758442495094,166.095365658636,168.193901346049,314.536912767674,340.852780122814,318.669645567972,672.574536021966,578.117386574047
"Flrt1",0,0,0,0.814862468310037,1.48068106048138,1.80447137920709,0,14.4529346643512
"Flrt2",0,0,0,15.4823868978907,11.5493122717548,5.77430841346268,0,0
"Flrt3",0,0,0,1.22229370246505,2.07295348467393,1.08268282752425,0,0
"Flt1",0,0,0,40.7431234155018,48.8624749958856,39.6983703425559,25.284756993307,187.888150636565
"Flt3",0,0,0.564409064919629,126.711113822211,154.28696650216,128.478362199545,10.1139027973228,0
"Flt3l",51.8024403390508,41.057281398764,40.6374526742133,44.002573288742,44.1242956023452,43.3073131009701,96.0820765745665,209.567552633092
"Flt4",3.10814642034305,0,0,77.0045032552985,61.5963321160255,57.7430841346268,5.0569513986614,14.4529346643512
"Flywch1",32.1175130102115,27.9936009537027,33.3001348302581,75.7822095528334,87.3601825684015,79.0358464092705,530.979896859447,476.946843923589
"Flywch2",4.14419522712406,0,1.12881812983926,2.44458740493011,3.25749833305904,1.44357710336567,20.2278055946456,0
"Fmn1",0,0,0,7.33376221479033,5.0343156056367,7.21788551682835,141.594639162519,72.2646733217559
"Fmn2",0,0,0,0.407431234155018,2.36908969677021,1.80447137920709,0,0
"Fmnl1",13.4686344881532,22.3948807629622,19.1899082072674,552.88418474836,721.683948878625,470.96702997305,768.656612596532,592.570321238398
"Fmnl2",1.03604880678102,0,0,34.6316549031766,57.7465613587739,39.3374760667145,500.638188467478,585.343853906223
"Fmnl3",0,0,0,120.599645309885,148.364242260234,106.463811373218,106.195979371889,101.170542650458
"Fmo1",6.21629284068609,2.79936009537027,1.12881812983926,4.4817435757052,6.2188604540218,7.93967406851119,0,0
"Fmo2",0,0,0,0,0,0,0,0
"Fmo3",0,0,0,0,0,0,0,0
"Fmo4",0,0,0.564409064919629,0.407431234155018,0.592272424192553,0.360894275841418,0,0
"Fmo5",3.10814642034305,3.73248012716036,7.90172690887481,22.408717878526,31.6865746943016,24.179916481375,298.360132521022,79.4911406539315
"Fmo6",0,0,0,0,0.296136212096276,0,0,0
"Fmo9",0,0,0,0,0,0,0,0
"Fmod",0,0.93312003179009,0,2.03715617077509,0.888408636288829,0,0,0
"Fmr1",1045.37324604204,1048.82691573206,1101.72649472312,508.881611459618,490.993839655626,537.732471003712,141.594639162519,115.623477314809
"Fmr1nb",0,2.79936009537027,0,0.814862468310037,2.96136212096276,0.360894275841418,0,0
"Fn1",0,4.66560015895045,0,343.057099158525,495.43588283707,403.840694666546,96.0820765745665,93.9440753182826
"Fn3k",1481.54979369685,1627.36133544192,1493.99079484226,280.312689098653,167.316959834396,289.437209224817,298.360132521022,122.849944646985
"Fn3krp",1380.01701063231,1456.60036962433,1434.16343396078,297.832232167318,352.402092394569,325.526636808959,5.0569513986614,7.22646733217559
"Fnbp1",837.127435879061,789.419546894416,826.859280107257,320.240950045844,400.672294966262,318.30875129213,975.99161994165,498.626245920116
"Fnbp1l",0,0,0,59.4849601866327,79.3645048418021,49.4425157902742,0,0
"Fnbp4",739.738848041645,760.492825908923,812.184644419346,545.142991299414,536.00654389426,487.929060937597,278.132326926377,310.73809528355
"Fnd3c2",0,0,0,0,0,0,0,0
"Fndc1",0,0,0,1.62972493662007,1.18454484838511,1.08268282752425,0,0
"Fndc3a",16.5767809084963,29.8598410172829,29.3492713758207,319.426087577534,371.947082392923,296.294200465804,445.011723082203,332.417497280077
"Fndc3b",0,0,0,122.229370246505,131.484478170747,94.19340599461,247.790618534408,224.020487297443
"Fndc3c1",0,0,0,1.22229370246505,3.84977075725159,0.721788551682835,0,0
"Fndc4",0,0,1.12881812983926,8.9634871514104,11.2531760596585,8.66146262019402,0,93.9440753182826
"Fndc5",24.8651713627444,23.3280007947523,33.3001348302581,1.62972493662007,7.69954151450318,4.33073131009701,5.0569513986614,36.1323366608779
"Fndc7",0,0,0,0,0.592272424192553,0.721788551682835,60.6834167839368,57.8117386574047
"Fndc8",1.03604880678102,0,1.69322719475889,0.814862468310037,1.18454484838511,0.721788551682835,0,0
"Fnip1",341.896106237735,449.763855322823,345.418347730813,219.605435209555,227.136474677844,201.739900195352,171.936347554487,101.170542650458
"Fnip2",4875.64568471146,4992.19217007698,5166.60058027428,402.542059345158,419.032740116231,406.006060321595,85.9681737772437,43.3588039930535
"Fnta",141.938686528999,148.366085054624,158.034538177496,294.980213528233,278.664175582596,312.173548602826,364.100500703621,455.267441927062
"Fntb",780.144751506105,893.928990454906,830.810143561694,171.935980813418,165.540142561818,186.221446334171,55.6264653852754,339.643964612253
"Folh1",0,0,0,0,0,0,0,0
"Folr1",0,0,0,0.407431234155018,0.296136212096276,1.08268282752425,0,0
"Folr2",0,0,0,3.66688110739516,5.62658802982925,8.30056834435261,96.0820765745665,65.0382059895803
"Folr4",0,0,0,0.407431234155018,0,0,30.3417083919684,0
"Fos",3.10814642034305,14.9299205086414,10.723772233473,604.220520251892,698.585324335116,557.58165617499,1006.33332833362,1734.35215972214
"Fosb",2.07209761356203,22.3948807629622,3.9508634544374,159.305612554612,124.969481504629,130.643727854593,101.139027973228,86.7176079861071
"Fosl1",31.0814642034305,36.3916812398135,43.4594979988114,3.66688110739516,3.25749833305904,6.1352026893041,0,0
"Fosl2",75.6315628950141,58.7865620027757,37.8154073496151,91.6720276848791,102.463129385312,70.7352780649178,85.9681737772437,21.6794019965268
"Foxa1",0,0,0,2.44458740493011,3.84977075725159,2.52625993088992,10.1139027973228,0
"Foxa2",0,0,0,0.814862468310037,0.888408636288829,1.80447137920709,0,0
"Foxa3",0,0,0,4.4817435757052,2.96136212096276,7.93967406851119,0,0
"Foxb1",0,0,0,0,0.296136212096276,0,0,0
"Foxb2",0,0,0,0,0,0,0,0
"Foxc1",0,0,0,0,2.07295348467393,0.360894275841418,0,0
